job_title,job_description,requirements
"Technical Support Specialist","We are looking for a full-time Technical Support Specialist to join our Partner Operations Global Care team. You will be the first point of contact for technical and nontechnical issues within the suite of products and services offered at Points. WHAT YOU WILL BE DOING: This role reports to the Technical Support Manager. Here’s how you’ll make an impact: Performing and communicating detailed investigations into the causes of production issues to determine temporary and permanent solutions to both internal and external stakeholders with an eye on quick/quality resolutions Proactively monitoring transactions for any inconsistencies or potential issues Creating and managing alerts & tools to assist with transaction monitoring such as Track and follow up on outstanding issues, keeping stakeholders informed of their status Working closely with internal/external stakeholders from both technical and business teams Troubleshoot code and configuration issues in all managed environments (test and production) Provide support to our Delivery Integrations team as they implement new integrations for our Loyalty Program partners on Points platforms","YOU ARE SOMEONE WITH: Clear and concise communication skills – particularly articulating technical findings to a non-technical audience Attention to detail and strong organization skills Experience debugging and error tracking with data logs Familiar with different types of data (CSV, XML, HTML, JSON) Experience writing complex queries/scripts for ad-hoc requests (Splunk, SQL, Python) Ability to work cross functionally with teams and team members of varying technical background Troubleshoot code and configuration issues in all managed environments (test and production) Experience in UML diagramming skills (activity diagrams, sequence diagrams etc.) Fearless ability to dive into the details and problem solve with cross functional teams"
"Real Estate Consultant","Role Description: This is a full-time on-site role for a Real Estate Consultant at Marrfa in Dubai, United Arab Emirates. The Real Estate Consultant will be responsible for conducting real estate sales, property negotiations, providing training, and offering expert advice to clients.","Qualifications: Real Estate and Real Property skills Sales and Negotiation abilities Training expertise Strong communication and interpersonal skills Knowledge of Dubai's real estate market Bachelor's degree in Real Estate, Business, or related field"
"Assistant Manager Corporate Sales","Position Overview: As the Assistant Manager – Corporate Sales, you will play a pivotal role in driving business growth by generating leads, securing new corporate partnerships, and managing sales activities. You’ll lead initiatives to expand the reach of the Viya Access Pass through strategic partnerships, events, and promotions. Key Responsibilities: Generate leads and close membership deals. Achieve sales targets by managing deals and processes effectively. Identify and implement key B2B and channel partnership opportunities. Coordinate with marketing to create compelling sales materials and campaigns. Develop systems for monitoring and evaluating sales initiatives. Build and maintain relationships with partners to enhance service quality. Drive new business opportunities through events, activations, and community outreach. Respond promptly to customer queries or complaints, ensuring satisfaction. Contribute to weekly sales management meetings.","Qualifications: Bachelors / Masters degree or equivalent. At least 5 years’ experience in corporate sales, ideally in lifestyle products/services. Strong network of decision-makers in relevant industries. Fluent in English; Arabic is a plus. Experience with event promotion and corporate partnerships. Excellent leadership, interpersonal, and problem-solving skills. A team-oriented mindset with a proactive attitude."
"Junior Product Specialist","Position Overview: The Product Specialist will become a key expert in our DMS software, utilizing their expertise to provide customer support and conduct user training. This role is essential in ensuring our clients effectively leverage our software solutions. Key Responsibilities: Develop in-depth knowledge of our DMS software to become a product expert. Provide exceptional customer support by addressing inquiries and resolving issues related to the software. Conduct user training sessions to ensure clients understand and can effectively use the DMS system. Collaborate with the development and support teams to provide feedback and insights on product improvements. Travel across the GCC as needed to support clients and deliver training sessions.","Must-Have Requirements: Extensive experience with dealer management systems, ideally with a well-known DMS brand. Strong understanding of how DMS systems operate and their functionalities. Background as a developer, IT specialist, or similar role with a solid technical foundation. Ability to learn quickly and effectively to hit the ground running. Willingness to travel across the GCC. Preferred Qualifications: Experience working with dealerships or service centers is a bonus, but not required. Strong communication and interpersonal skills. Ability to convey complex information in a clear and engaging manner."
"Business Setup Operations Consultant","As a Business Setup Consultant, you will be responsible for providing expert advice and guidance to clients seeking to establish new businesses or expand existing ones. Your role will involve understanding clients' objectives, conducting market research, and developing comprehensive business plans and strategies to facilitate successful setup and growth. You will collaborate closely with clients, government authorities, and internal teams to ensure compliance with regulations and optimize business setup processes. Responsibilities: Consult with clients to understand their business goals, industry, and market dynamics. Conduct market research and analysis to identify market opportunities, target audience, and competitive landscape. Provide expert advice on the most suitable business structures, licensing requirements, and legal obligations for clients' specific needs. Develop comprehensive business plans, feasibility studies, and financial projections to support clients' business setup endeavors. Collaborate with clients to define business strategies, including market entry, marketing, sales, and operational plans. Liaise with government authorities and regulatory bodies to obtain necessary licenses, permits, and approvals for business setup and operations. Assist clients in selecting appropriate company names, preparing necessary documentation, and registering businesses in compliance with local regulations. Advise clients on tax planning, incentives, and compliance requirements related to their business setup. Provide guidance on sourcing capital, funding options, and financial management for startups and expansion projects. Identify and engage with relevant service providers, such as legal counsel, accounting firms, and marketing agencies, to support clients' business setup and growth. Keep abreast of industry trends, changes in regulations, and best practices related to business setup and consulting services. Maintain accurate and up-to-date records of client interactions, project progress, and deliverables.","Requirements: Bachelor's degree in Business Administration, Finance, or a related field. Proven experience in business setup consulting, entrepreneurship, or related areas. In-depth knowledge of business setup processes, legal requirements, and regulatory frameworks. Strong analytical and problem-solving skills, with the ability to assess complex business scenarios and provide practical solutions. Excellent communication and interpersonal skills to effectively interact with clients, government authorities, and internal stakeholders. Proficiency in conducting market research and analysis to identify business opportunities and risks. Familiarity with financial modeling, business planning, and feasibility study techniques. Ability to work independently and manage multiple client engagements simultaneously. Attention to detail and organizational skills to ensure accurate documentation and timely project delivery. Proficiency in Microsoft Office Suite and business management software. Preferred Qualifications: Master's degree in Business Administration or a relevant field. Experience in advising clients on business setup in specific industries or geographical regions. Knowledge of international business setup procedures and cross-border regulations."
"Regional Sales Lead","As a Regional Sales Lead, you will manage the commercial efforts in the GCC markets. This role is pivotal in developing and executing the company's sales strategy and building strong client relationship to grow its presence in the region.  As part of a versatile team, the successful candidate will require fluency in English and Arabic. Hunting & Business Development: Develop and implement regional sales strategy aligned with overall company objectives. Identify and acquire new business opportunities within the GCC markets especially KSA & UAE, targeting app developers and brands - seeking performance marketing solutions. Strategic Growth: Develop and execute strategies to meet and exceed sales targets in the region, aligning with the company’s overall growth objectives. Industry Engagement: Represent the company in the region and service as the primary point of contact for regional stakeholders. Represent the company at the biggest events across the region, as well as exclusive gatherings they organize with their key partners. Market Expertise: Stay updated on new apps, competitor activities, and client needs to position the company as a leader in performance marketing for apps. Collaboration with Teams: Work closely with cross-functional teams (operations, marketing) to ensure smooth onboarding of new clients and delivery of solutions. Regular travels to KSA to meet clients, prospects and attend events in the region will be an essential part of the role.","Qualifications: Proven experience in a sales or business development role, preferably within the performance marketing or mobile advertising space or in a marketing agency. Fluency in English and Arabic. Extensive network of professional contacts in the UAE and KSA markets. Demonstrated ability to develop and close new business opportunities. Capable of translating organizational goals into actionable sales plans. Interpersonal, negotiation and presentation skills Thrives in a fast-maces and competitive environment Additional Qualifications: Fluency in French is a plus. Experience in a performance marketing agency. Knowledge of mobile marketing and app performance."
"MENA PR | Blockchain","Write and proofread press releases, news stories, articles, case studies, and product pieces through a localized customer-facing lens to deliver accurate yet appealing communications. Establish and maintain relationships with local media outlets and journalists, including but no limited to Tech / Finance / Crypto / General media, also social media, and KOL resources in the crypto area. Create new PR campaigns and amplify existing campaigns. Proactive pitching, reactive handling, and active media monitoring, analyzing, and reporting PR coverage and outcomes.","Proficiency in English and Arabic is required Have an established network of media contacts. Minimum 2 years of relevant Public Relations experience in the Blockchain / Crypto / FinTech industries. Expert knowledge of the local Financial / Crypto media landscape. Proven media relations skills, solid copywriting, and editing skills. Work independently and collaborate with remote global marketing team members."
"Customer Success Manager","Customer Success Management: Manage your book of business ensuring strong customer health, adoption to achieve gross-and-net retention revenue targets, and identify upsell opportunities to pass to our account development teams. Develop success plans to ensure customer objectives are achieved with support from 7R product and service offerings. You’ll build strong, long-lasting relationships and become a trusted advisor with key stakeholders and executive sponsors. Data-Focus: Maintain data integrity to track key metrics, specifically ROI. You will then analyze your findings and make recommendations to optimize for maximum revenue. Technical Aptitude: Become an expert on the SevenRooms platform providing technical and business solutions; assisting with product adoption and optimization  Collaboration: Work seamlessly with various teams across SevenRooms to ensure we’re delivering quality and thoughtful products to our clients.","4+ years of experience working in a Customer Success or Account Management role Excellent verbal and written communications skills Demonstrated ability to communicate, present, and influence credibly and effectively at all levels of the organization, including executive and C-level Experience building and implementing systems and process for internal communication Proven ability to manage multiple projects while paying attention to detail"
"Regional Sales Lead","Hunting & Business Development: Develop and implement regional sales strategy aligned with overall company objectives. Identify and acquire new business opportunities within the GCC markets especially KSA & UAE, targeting app developers and brands - seeking performance marketing solutions. Strategic Growth: Develop and execute strategies to meet and exceed sales targets in the region, aligning with the company’s overall growth objectives. Industry Engagement: Represent the company in the region and service as the primary point of contact for regional stakeholders. Represent the company at the biggest events across the region, as well as exclusive gatherings they organize with their key partners. Market Expertise: Stay updated on new apps, competitor activities, and client needs to position the company as a leader in performance marketing for apps. Collaboration with Teams: Work closely with cross-functional teams (operations, marketing) to ensure smooth onboarding of new clients and delivery of solutions. Regular travels to KSA to meet clients, prospects and attend events in the region will be an essential part of the role.","Qualifications: Proven experience in a sales or business development role, preferably within the performance marketing or mobile advertising space or in a marketing agency. Fluency in English and Arabic. Extensive network of professional contacts in the UAE and KSA markets. Demonstrated ability to develop and close new business opportunities. Capable of translating organizational goals into actionable sales plans. Interpersonal, negotiation and presentation skills Thrives in a fast-maces and competitive environment Additional Qualifications: Fluency in French is a plus. Experience in a performance marketing agency. Knowledge of mobile marketing and app performance. "
"Administrative Assistant","Master of Multitasking: Juggle various administrative duties with finesse, including managing schedules, coordinating meetings, handling correspondence, and maintaining office supplies. Office Cheerleader: Foster a positive and fun office culture by organizing team-building activities, celebrations, and social events that keep employees engaged and motivated. Hospitality Extraordinaire: Greet visitors with a warm smile, offer assistance, and ensure their experience at our office is top-notch. The Organizational Guru: Keep our office space tidy, organized, and visually appealing, making it an inviting place to work and visit. Communication Maestro: Serve as a liaison between different departments, relaying important information effectively and efficiently.","Qualifications: High school diploma or equivalent (additional education or certifications in office administration is a plus). Proven experience as an office manager or in a similar administrative role. Excellent organizational and time management skills, with an ability to prioritize tasks effectively. Exceptional interpersonal and communication skills to interact with colleagues, clients, and visitors."
"Crypto Exchange Manager","Conduct due diligence on various cryptocurrency exchanges. Identify, evaluate, and select suitable exchanges for our coin launch. Develop and implement strategies to ensure the successful listing of our coin on multiple exchanges. Drive the business forward by achieving key marketing and sales targets. Collaborate with internal teams to ensure timely delivery of projects.","Proven Experience: Successfully launched a cryptocurrency on multiple exchanges. Strong Industry Connections: Established relationships with top crypto exchanges. Team Player: Willingness to collaborate and support the team’s goals. Project Management Skills: Experience with both agile and waterfall project management techniques. Adaptability: Comfortable working under tight timelines in a fast-paced startup environment. Excellent Communication: Clear and effective communication is essential. Startup Experience: Experience working in a startup environment is a plus."
"Software Sales & Business Development Executive","Business Development: Identify and pursue new business opportunities to achieve sales and revenue targets. Develop and implement strategies to expand the company’s presence in Dubai. Conduct market research and competitor analysis to identify trends and opportunities. Client Relationship Management: Build and maintain strong relationships with existing and potential clients. Deliver presentations, proposals, and tailored solutions to meet client needs. Act as the main point of contact for key clients and ensure their satisfaction. Strategic Planning: Collaborate with senior management to align business development strategies with company goals. Prepare and present business development reports and forecasts to stakeholders. Cross-functional Coordination: Work closely with marketing, operations, and other departments to ensure seamless execution of projects. Provide input into product development based on market feedback.","Qualifications and Skills: Bachelor’s degree in Business Administration, Marketing, or a related field. Proven experience (3+ years) in business development or sales, preferably in Dubai or the UAE market. Excellent communication, negotiation, and interpersonal skills. Strong analytical abilities and a results-oriented mindset. Proficiency in CRM software and Microsoft Office Suite. Familiarity with the Dubai business environment and key industries is a plus. Key Competencies: Goal-oriented and self-motivated. Strong organizational skills with the ability to manage multiple projects. Ability to thrive in a fast-paced and competitive environment."
"Microsoft Dynamics NAV/365 Business Central Consultants","As an ERP Developer, you will be a part of an exciting and growing division of Pargesoft. The ERP Developer will be responsible for data migration, and custom coding for all ERP Solutions. The ERP Developer will primarily work within the Microsoft Dynamics NAV and Dynamics 365 Business Central environments. These solutions will have significant impact on the associated processes and in most cases will be highly visible to end users and Executives. The ERP Developer will be automating manual business processes using a combination of software, custom programming, and integration between existing systems. Serving as the lead programmer/analyst for all Dynamics ERP implementations and migrations away from legacy ERP’s, Working with Business Analysts to develop and implement custom modifications derived from business assessments, Developing integration points using APIs from Impact software providers, Maintaining and supporting custom developed integrations, Being able to test solutions to ensure they meet desired business needs and developing test code units as well as test methods, Documenting all work for future improvements and development","Required Qualifications, Minimum 4 Year Bachelor’s Degree in MIS or Computer Science (or related experience), Minimum of 3 years’ experience in an ERP Developer/Implementation role, Strong Dynamics NAV programming experience, Strong Dynamics 365 Business Central programming experience, Strong Microsoft Power BI programming experience, Kowledge and experience about software development processes with Microsoft Azure devops, Experience using, designing, and customizing Microsoft Flow and Power Apps, SQL and database knowledge, Installation and Configuration experience with various mid-market ERP systems, General networking understanding, Ability to quickly learn extensive software platforms and have the ability to integrate them with several other software applications, Extensive general technical understanding (programming, software logic, etc.), Creative, but technical problem solver: quick thinking and fully engaged at all points in the solution from strategy to support, Strong communication skills (phone, e-mail, and in-person), Team oriented: engaging with a group of people to conquer project tasks, Interested in future technologies and software"
"Researcher","Key Responsibilities: Develop a comprehensive proposal for a special issue relevant to their research section underlining its importance and the information of prospective contributors., Invite senior scholarly authors with high h-index scores, preferably from technologically advanced countries, to publish articles in the special issue., Ensure that the contributing authors are committed to the Open Access mode of publishing and can cover the Article Processing Charges (APC).*, Oversee manuscript submissions for adherence to the scope of the issue and the journal., Utilize the offered honorarium to promote the special issue within the scientific community. ","Qualifications and Experience:, Ph.D. in related fields, A valid Scopus ID., Prior experience in publishing guest-edited thematic issues in peer-reviewed journals., They must have a list of scholarly authors who can consent to contribute research / review articles in the thematic issue(s) proposed by the Section Editor., Strong networks within the research community., Excellent communication and organizational skills., Familiarity with scientific publication and peer review processes."
"Logistics Supervisor","Key Responsibilities: Supervise Logistics Operations: Oversee the movement, distribution, and storage of supplies and materials. Plan and Monitor Deliveries: Coordinate and monitor inbound and outgoing deliveries to ensure timely and efficient transportation. Warehouse Management: Organize the warehouse, label goods, plot routes, and process shipments. Inventory Control: Manage inventory levels to ensure sufficient stock is maintained and reorder products as needed. Supplier Coordination: Establish and maintain communication with suppliers, custom brokers, carriers, and other stakeholders involved in the shipping and delivery process. Cost Analysis: Conduct cost analysis of transportation companies to select the most cost-effective options. Safety Compliance: Implement and enforce safety procedures and standards, ensuring all staff follow them. Problem Resolution: Address and resolve any issues or complaints related to logistics operations. Team Supervision: Recruit, train, and supervise logistics staff, ensuring efficient and safe delivery of goods. Reporting: Prepare and file logistics reports, ensuring accurate documentation of all logistics activities.","Qualifications: Education: Bachelor's degree in Supply Chain Management, Business, Industrial Engineering, or a related field. Experience: Minimum of 5 years of experience in logistics or supply chain management, with a proven track record of managing logistics operations. Skills: Strong organizational and customer service skills, ability to meet demands on short deadlines, excellent communication skills, and the ability to work effectively in a team environment. Technical Knowledge: Proficiency in logistics IT systems and software, knowledge of ISO requirements, and familiarity with safety regulations and standards. Preferred Qualifications: Experience in the oil and gas industry or related sectors. Certification in logistics or supply chain management (e.g., APICS, CILT)."
"Solution Architect - SAP S/4 HANA SuccessFactors HR","Job Summary: As the Solution Architect for SAP S/4 HANA SuccessFactors HR, you will lead the design, integration, and delivery of HR solutions within a major transformation program. You will collaborate with cross-functional teams and external partners to ensure that the SAP SuccessFactors HR solutions align with business goals, technical standards, and best practices. Responsibilities: Provide technical leadership for the SAP S/4 HANA SuccessFactors HR scope, ensuring solutions reflect business requirements and adhere to governance and testing standards. Coordinate across internal business and technology teams, as well as external system integrators, for effective project delivery. Ensure the HR scope is integrated with broader program streams like data migration, analytics, and testing, while managing dependencies. Provide expert guidance on SAP SuccessFactors architecture, integration, and technical design. Align the SAP HR implementation with the company’s overall tech strategy and architecture roadmap. Collaborate with stakeholders to translate business requirements into technical specifications for HR solutions. Lead the design, configuration, and integration of SAP SuccessFactors, ensuring alignment with enterprise architecture standards. Manage relationships with vendors, system integrators, and SAP consultants to ensure timely and high-quality delivery. Oversee the performance of third-party vendors, ensuring they meet contractual obligations.","Skills/Requirements: Hands-on experience in implementing SAP SuccessFactors Payroll in a large organization is must. Middle East Experience is mandatory for this role. Business side HR experience is not a must. 8-10 years of experience in technology implementation and management, with a focus on large-scale transformation programs. Experience working with ERP systems in design, deployment, testing, and support. Experience with SAP (preferred but not mandatory; training will be provided). Proven ability to manage large, hybrid teams, including external vendors, and ensure projects stay on scope and budget. Strong leadership and communication skills to work with cross-functional teams and stakeholders. Bachelor’s degree in IT, Business Administration, or related field. Relevant certifications (PMP, ITIL, ERP) are a plus."
"Recruitment Consultant – Native French Speaker (Cold Calling, Email & LinkedIn)","Key Responsibilities: Targeted Outreach: Proactively engage potential clients and candidates through cold calling, email campaigns, and LinkedIn messages. Research prospects and tailor outreach strategies to build meaningful connections with decision-makers. Client Engagement: Present Merittas' recruitment services in a professional, persuasive manner to secure interest and initiate the recruitment process. Manage the recruitment cycle from initial outreach to successful candidate placement. Relationship Building: Cultivate strong, trusting relationships with clients to ensure repeat business. Act as a reliable point of contact, providing regular updates and exceptional client support. Target Achievement: Consistently meet and exceed daily, weekly, and monthly outreach and placement targets. Maintain a detailed log of outreach activity, tracking conversion rates and identifying areas for improvement.","What We’re Looking For: Experience & Background: Recent graduates or professionals with 1–3 years of experience in sales, customer service, or related fields. Proven track record of high performance in sports, academics, extracurriculars, or professional roles. Skills & Traits: Exceptionally resilient and unshakable under pressure. Gritty, tough, and unyielding in the face of challenges. 🎯 Target-driven, competitive, and results-oriented. Strong verbal and written communication skills. Confident on the phone, with excellent email and LinkedIn messaging skills. Positive, determined, and able to handle rejection with perseverance. Other Requirements: 🇫🇷 Native French speaker (mandatory). Fluent in English (preferred). Tech-savvy, with experience using LinkedIn and CRM systems."
"Executive Assistant","Key Responsibilities: Administrative Support:, Provide comprehensive administrative support to C-level executive, including calendar management, scheduling meetings, and coordinating travel arrangements., Prioritize and manage multiple tasks, ensuring deadlines are met and the executive’s schedule is optimized., Organize and prepare materials for meetings, presentations, and reports. Communication & Liaison:, Serve as the primary point of contact between the executive and internal/external stakeholders., Draft and manage communications, including emails, phone calls, ensuring clarity and accuracy., Coordinate with other team members, departments, and external partners to facilitate collaboration and information flow. Meeting & Event Coordination:, Schedule and coordinate internal and external meetings, including logistical arrangements, catering, and technology setup., Attend meetings, take notes, and follow up on action items, ensuring that all deliverables are completed as required. Confidentiality & Discretion:, Handle confidential and sensitive matters with the utmost discretion., Manage privileged information regarding the executive’s personal and professional commitments.","Qualifications & Skills:, At least 5 years of experience as a Personal Assistant, Executive Assistant, or in a similar role supporting C-suite executives., Exceptional organizational skills, with the ability to multitask and prioritize in a fast-paced, dynamic environment., Excellent written and verbal communication skills, with a strong attention to detail., Proven ability to work independently, exercise sound judgment, and take initiative while maintaining discretion., Superior organizational and multitasking abilities, with meticulous attention to detail., Adaptable and flexible, able to handle both personal and professional matters with equal attention. Willingness to work flexible hours and be available to support the executive outside standard business hours when needed."
"Sales Consultant","Key Responsibilities: *Assist clients with visa applications, residency permits, and other immigration documentation. *Provide accurate information and options for clients’ immigration pathways. *Guide clients through documentation processes and ensure compliance with all immigration regulations. *Stay updated on changes in immigration laws and regulations to advise clients effectively. *Build and maintain strong client relationships, addressing inquiries and resolving issues promptly.","Qualifications: *Strong communication and interpersonal skills. *Attention to detail and organizational abilities. *Willingness to learn and adapt to immigration laws and procedures. *Prior experience in immigration consultancy is a plus but not required. *Freshers with a keen interest in the field are welcome to apply."
"Regional Sales (Dubai)","Job Description: 1. Expanding sales: Responsible for implementing company products and sales strategies in accordance with the company's marketing strategy, conducting sales forecasts and controlling the conversion rate; achieving regional sales targets and ensuring receivables;  2. Market Research: Responsible for digging and collecting market information, competitor information in local and surrounding countries and regions, and developing appropriate marketing and sales strategies. 3. Responsible for executing sales and marketing plans in accordance with the company's marketing strategy，increasing market share in overseas markets. 4. Brand Promotion: Responsible for planning and organizing promotional activities for products in target markets, assisting the company in developing and executing local marketing activities, and enhancing the company's brand awareness and influence. 5. Understanding of local business laws and regulations, proficiency in contract negotiation and risk management, and reduction of enterprise risks. 6. Preferred with Sales experience in hospitality and restaurant related industries Note: Work directly reports to the immediate supervisor (General Manager of DS Overseas Marketing Center).","Requirements: 1. Basic Requirements: Aged between 28-35 years old, Bachelor's degree or above, unlimited gender; fluent in English, Arabic proficiency is preferred; healthy physical condition, appropriate appearance; strong stress resistance, high work enthusiasm; experience in cross-border TB sales business operations. 2. Personality Traits: Upright character, good ethic, strong teamwork skills, strong self-drive ability, and strong stress resistance. 3. Work Experience: More than 10 years of experience in the sale of related products in the international brand hotel industry, 5 years or more experience in B-end customers in the same industry, or 3 years of Dubai local market localization sales management operation experience is preferred. 4. Skills: Strong customer relationship skills, sales brand planning abilities, and management mindset; good interpersonal relationships and negotiation skills, sensitive market perception, and strong adaptability; knowledge of marketing, channel strategy management, etc. Note: This position requires permanent stay in Dubai. Please do not apply if you cannot accept. Thank you."
"Regional Sales (Saudi Arabia)","Job Responsibilities: Sales Execution: Implement and drive sales strategies to promote company products and services, ensuring sales targets are met and managing conversion rates. Market Analysis: Gather and analyze market data from Saudi Arabia and neighboring regions to identify opportunities and develop localized sales and marketing strategies. Marketing & Promotion: Plan and organize product promotional activities in target markets, collaborating with local teams to enhance brand visibility and awareness. Regulatory Compliance: Ensure compliance with local business laws and manage contract negotiations, risk management, and other business risks. Industry Experience: Prior experience in the hospitality or catering industry is highly preferred.","Qualifications: Education: Bachelor’s degree or higher in a relevant field. Skills: Strong client relationship management and sales planning skills. Excellent interpersonal, negotiation, and communication abilities. Proficiency in market analysis, risk management, and contract negotiation. Work Experience: At least 10 years of sales experience, preferably in the hospitality or related sectors. Experience in managing B2B clients or local market operations in Saudi Arabia is an advantage. Fluent in English; Arabic proficiency is preferred. "
"Data Analytics Intern","Position: Data Analytics Intern Are you passionate about unlocking the power of data? Refonte AI is seeking a highly motivated Data Analytics Intern based in the United Arab Emirates. This internship offers a unique opportunity to develop your data analysis skills, work on real-world projects, and contribute to decision-making processes that drive impactful change. Join us remotely and collaborate with a global team dedicated to data-driven excellence. Key Responsibilities Analyze large datasets to uncover trends, patterns, and insights that support business strategy. Use tools such as Python, SQL, Excel, and Tableau to manipulate, visualize, and report data findings. Collaborate with various departments to understand data needs and provide actionable recommendations. Assist in developing dashboards and data visualization tools to communicate key metrics effectively. Clean, process, and validate data to ensure accuracy and completeness for analysis. Conduct data quality assessments and identify opportunities for data enhancement. Participate in the creation of predictive models and machine learning algorithms to support future forecasting. Report findings in a clear, concise manner to both technical and non-technical stakeholders.","Qualifications Currently pursuing a degree in Data Science, Statistics, Mathematics, Computer Science, or a related field. Familiarity with analytical tools and programming languages, such as Python, SQL, Excel, and Tableau. A keen eye for detail and a passion for finding meaning in numbers. Strong problem-solving and critical-thinking skills. Excellent written and verbal communication abilities, essential for sharing complex insights clearly. Ability to work both independently and collaboratively, demonstrating initiative and a strong team spirit."
"AI & Data Science Internship","Job Summary: Refonte Learning is seeking enthusiastic individuals for our prestigious AI & Data Science Study and Internship Program. This intensive initiative offers a unique opportunity to collaborate closely with our seasoned AI & data science team on diverse and impactful projects. Refonte Learning is seeking enthusiastic individuals who are looking to learn AI & Data Science from beginning to advanced level while also working on live projects globally. RIGTIP (Refonte Infini Global Training & Internship Program) is designed as a manner that offers you to work in a flexible work environment but also offers working with people in a global team from Oceania, Asia, Europe and American continents. Job Description: We are excited to offer an internship opportunity for individuals passionate about the convergence of AI, Data Science, DevOps, and Cloud technologies. As an AI, Data Science, DevOps, and Cloud Intern, you will have the unique opportunity to gain hands-on experience in these dynamic and interconnected fields, working on innovative projects and collaborating with experienced professionals. Responsibilities: Collaborate with cross-functional teams to develop, deploy, and maintain AI-driven solutions. Assist in collecting, cleaning, and analyzing data from various sources to derive actionable insights. Contribute to the design and implementation of scalable data pipelines for model training and deployment. Support the integration of machine learning models into production systems using DevOps best practices. Participate in designing and optimizing CI/CD pipelines for continuous integration, testing, and deployment of AI applications on cloud platforms. Assist in infrastructure provisioning, configuration, and monitoring using cloud services such as AWS, Azure, or Google Cloud. Work closely with data scientists and engineers to understand business requirements and translate them into technical solutions. Research and experiment with emerging technologies and tools in AI, Data Science, DevOps, and Cloud domains. Collaborate on documentation efforts to ensure knowledge sharing and best practices across the team. Projects You Will Work On: - Multi Cloud AI Infrastructure Configuration, Automation and Deployment - Full Stack AI DevOps & Development - Generative AI model, Large Language Models and Foundations models to transform input to output. NB: Input can be text, images, audios or videos; Output can also be text, images, audios or videos - Finance Fraud Detection: Develop advanced fraud detection algorithms leveraging financial data analysis. - Recommender System: Contribute to personalized recommendation systems, enhancing user experiences across platforms. - Sentiment Analysis: Explore sentiment analysis to extract insights from textual data, shaping user sentiment understanding. - Chatbots: Engage in intelligent chatbot development, revolutionizing customer interactions and support. - Image/Audio Video Classification: Push boundaries with multimedia technology by working on image and audio video classification projects. - Text Analysis: Uncover hidden patterns in textual data through sophisticated text analysis techniques.","Roles & Responsibilities: - Collaborate with our esteemed AI & data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization. - Contribute to the development of predictive models and algorithms, employing cutting-edge machine learning techniques to solve real-world challenges. - Work closely with team members to design, implement, and evaluate experiments, fostering a collaborative and innovative environment. - Stay updated with the latest industry trends and best practices in data science, applying newfound knowledge to enhance project outcomes. Qualifications: - Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth. - Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas. - Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities."
"Hiring HR Manager - Real Estate Expereince","Role Description This is a full-time, on-site role for a Hiring HR Manager with Real Estate Experience at Marrfa in Dubai. The HR Manager will be responsible for overseeing the recruitment process, conducting interviews, managing employee relations, and implementing HR strategies in alignment with the organization's goals and values.","Qualifications: Recruitment, Interviewing, and Employee Relations skills HR Strategy development and implementation experience Knowledge of Real Estate industry practices and regulations Excellent communication and interpersonal skills Strong organizational and time-management abilities Bachelor's degree in Human Resources, Business Administration, or related field HR certification (e.g., SHRM-CP, PHR) is a plus"
"IT Pentest Engineer","Responsibilities: Identify the target systems and the goal, review the information available, and undertake available means to attain the goal , Conduct white box or black box testing , Understand complex computer systems and technical cyber security terms , Work with clients to determine their requirements from the test, for example, the number and type of systems they would like testing , Plan and create penetration methods, scripts, and tests , Carry out remote testing of a client's network or onsite testing of their infrastructure to expose weaknesses in security , Simulate security breaches to test a system's relative security , Create reports and recommendations from your findings, including the security issues uncovered and the level of risk , Advise on methods to fix or lower security risks to systems , Present your findings, risks, and conclusions to management and other relevant parties , Consider the impact your 'attack' will have on the business and its users , Understand how the flaws that you identify could affect a business, or business function, if they're not fixed","Requirements: , Degree in Computer Engineering, Computer Science, or an IT-related discipline, Extensive experience in penetration testing skills to penetrate organizational systems and networks for at least 3 years , 8+ years working in IT security or related field (Cyber Security) with specific experience in the following:  - Mobile technologies and OSes (i.e., Android, iOS, Windows, hardware, and applications)  - C/C+/C++ Perl, Python, Shell, or other programming and scripting languages  - Assessing operating system capabilities and vulnerabilities  - Assessing hardware capabilities and vulnerabilities  - Malware and code analysis, reverse engineering  - Signature development, Yara rule development  - Mitigation strategy development  - Software, tool, and exploit development , Proficient in utilizing a wide variety of tools for vulnerability and penetration testing , Extensive experience in performing network, system, and application-level testing using established test protocols and methods , Proficient in researching and evaluating emerging technologies relevant to information systems security , Ability to interpret agency-specific and federal security regulations in relation to security testing"
